,,,,,,,,,,,,,
,,,," INFORMATION TECHNOLOGY
 Network & Cybersecurity",,,,,,,,,
,,,,,,"Revision Date: May 19, 2025",,,,,,,
,,,,,,,,,,,,,
,,"Imagine yourself being a company’s first line of defense in tech. Our Network & Cybersecurity specialization provides students with an in-depth understanding and skills on cyber security standards, protocols, and frameworks. Learn the technical skills needed to support network operations administration, and monitoring and maintenance of cyber security systems and applications.",,,,,,,,,,,
,,,,,,,,,,,,,
,,FIRST YEAR,,,,,,,,,,,
,,,,,,,,,,,,,
,,First Year 1st Term,,,,,,,,CHED Requirement Validation (for Center of Excellence school),,,
,,Course Code,Course Title,Type,Prerequisite,Corequisite,Units,,,Type,Required Units,Tagged Units,# of Units to Fill
,,MO-ENG039,Language and Communication,Lec,None,None,(3),,,GE-Core,24,24,0
,,MO-MATH034,College Logic and Math,Lec,None,None,(3),,,GE-Elective,9,9,0
,,MO-SS033,The Contemporary World,Lec,None,None,3,,,GE-Rizal,3,3,0
,,MO-SS031,Understanding the Self,Lec,None,None,3,,,NSTP,6,6,0
,,MO-PE011,PE1,LFD,None,None,2,,,PE,8,8,0
,,MO-HUM080,Philippine Popular Culture,Lec,None,None,3,,,CBMEC,6,6,0
,,,,,,,,,,BA Core,21,21,0
,,TOTAL,,,,,11,,,Professional,24,24,0
,,,,,,,,,,Elective,12,24,12
,,First Year 2nd Term,,,,,,,,Free-Elective,0,0,0
,,Course Code,Course Title,Type,Prerequisite,Corequisite,Units,,,OJT,6,9,3
,,MO-MATH035,Math in the Modern World,Lec,None,None,3,,,Capstone,3,3,0
,,MO-ENG040,Purposive Communication,Lec,None,None,3,,,Filipino,,,
,,MO-IT100,Introduction to Computing,Lec,None,None,3,,,TOTAL,122,137,15
,,MO-IT101,Computer Programming 1,Lec/Lab,None,MO-IT101L,3,,,,,,
,,MO-PE012,PE2,LFD,None,None,2,,,,,,
,,MO-NSTP021,NSTP1,Lec,None,None,3,,,CHED Requirement Validation,,,
,,,,,,,,,,Type,Required Units,,
,,TOTAL,,,,,17,,,GE,36,,
,,,,,,,,,,NSTP,6,,
,,First Year 3rd Term,,,,,,,,PE,8,,
,,Course Code,Course Title,Type,Prerequisite,Corequisite,Units,,,CBMEC,6,,
,,MO-HUM034,Art Appreciation,Lec,None,None,3,,,BA Core,24,,
,,MO-HUM039,Ethics,Lec,None,None,3,,,Professional Major,24,,
,,MO-IT103,Computer Programming 2,Lec/Lab,MO-IT101,MO-IT103L,3,,,Electives,12,,
,,MO-PE013,PE3,LFD,None,None,2,,,Internship (600hrs),6,,
,,MO-NSTP022,NSTP2,Lec,MO-NSTP021,None,3,,,,,,
,,MO-IT108,Discrete Structures,Lec,None,None,3,,,,,,
,,,,,,,,,,,,,
,,TOTAL,,,,,17,,,TOTAL,122,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,SECOND YEAR,,,,,,,,GE Type Validation,,,
,,,,,,,,,,GE Type,Subjects,Required Units,Total Units
,,Second Year 1st Term,,,,,,,,Language & Humanities,English,9,24
,,Course Code,Course Title,Type,Prerequisite,Corequisite,Units,,,Language & Humanities,Filipino,6,
,,MO-SS036,"Science, Technology, and Society",Lec,None,None,3,,,Language & Humanities,"Humanities (Lit, Arts, Philo, etc)",9,
,,MO-IT104,Computer Networks,Lec/Lab,MO-IT100,MO-IT104L,3,,,"Math, Nat Sci, and Tech","Math (Algebra, Stat)",6,15
,,MO-IT105,Human-Computer Interaction,Lec/Lab,None,MO-IT105L,3,,,"Math, Nat Sci, and Tech",Nat Sci,6,
,,MO-IT106,Data Analytics Fundamentals,Lec/Lab,MO-IT103,MO-IT106L,3,,,"Math, Nat Sci, and Tech","Electives (Trig, Physics, STS, etc)",3,
,,MO-ENV076,People and Earth's Ecosystems,Lec,None,None,3,,,Soc Sci & Comms,Rizal,3,15
,,MO-PE014,PE4,LFD,None,None,2,,,Soc Sci & Comms,Ph History & Culture,3,
,,,,,,,,,,Soc Sci & Comms,"Psych, Soc, Anthro, Econ, Asian/Western Civ, Masscomm, Society & Culture, Politics and Governance",9,
,,TOTAL,,,,,17,,,TOTAL,,54,54
,,,,,,,,,,,,,
,,Second Year 2nd Term,,,,,,,,,,,
,,Course Code,Course Title,Type,Prerequisite,Corequisite,Units,,,,,,
,,MO-IT102,Data Structures and Algorithms,Lec/Lab,MO-IT103,MO-IT102L,3,,,,,,
,,MO-SS032,Readings in Philippine History,Lec,None,None,3,,,,,,
,,MO-IT107,Information Management,Lec/Lab,MO-IT103,"MO-IT107L
MO-IT110",3,,,,,,
,,MO-IT109,Cybersecurity Fundamentals,Lec/Lab,MO-IT104,MO-IT109L,3,,,,,,
